,buytime,buyprice,stoploss,target,selltime,profit,open,high,close,low,5ema,9ema,21ema,rsi,openCloseDiff,ema5_highDiff,ema5_lowDiff
825,12-08-2022 00:00,765.3,772,711.7,12-08-2022 00:15,-0.87547367,771.1,772,767.15,765.3,761.0121028,753.4706279,742.112717,80.45700557,0.51225522,1.423302748,0.560289719
826,27-07-2023 23:45,902.25,920.95,752.65,31-07-2023 01:45,-2.072596287,920.95,920.95,903,902.25,895.7206512,888.9370594,881.863189,72.85294584,1.949074325,2.739491694,0.72367401
827,09-01-2018 23:35,104.15,104.75,99.35,12-01-2018 00:10,-0.576092175,104.75,104.75,104.15,104.15,103.5297237,102.8874228,101.9489657,73.12234274,0.572792363,1.164941564,0.595560526
828,03-10-2018 00:00,72.15,72.75,67.35,03-10-2018 00:10,-0.831600832,72.65,72.75,72.15,72.15,71.97069552,71.63152583,70.83305382,74.1763817,0.688231246,1.071208913,0.248516264
829,22-05-2019 03:40,64.75,65.15,61.55,22-05-2019 04:35,-0.617760618,65.1,65.15,64.75,64.75,64.46900745,64.17312903,63.78610345,71.91666645,0.537634409,1.045268693,0.433965333
830,23-05-2019 01:15,69.2,70.25,60.8,26-05-2019 23:50,-1.51734104,69.75,70.25,69.25,69.2,69.10835499,68.75178564,67.81971722,75.18682967,0.716845878,1.625117447,0.132434981
831,04-05-2020 03:20,23.9,24.4,19.9,04-05-2020 03:25,-2.092050209,24.35,24.4,24,23.9,23.67528667,23.15103288,22.35959824,76.22055991,1.437371663,2.97013661,0.94022315
832,04-05-2020 03:30,24.1,24.6,20.1,04-05-2020 04:10,-2.074688797,24.4,24.6,24.15,24.1,23.98346074,23.54266104,22.68685805,74.21591515,1.024590164,2.50625715,0.48356539
833,12-05-2020 23:45,22.55,23.4,15.75,13-05-2020 01:10,-3.76940133,23.1,23.4,22.6,22.55,21.90569833,21.78548615,21.7097896,83.12985997,2.164502165,6.385904564,2.857213605
834,13-05-2020 02:15,24.95,25.35,21.75,13-05-2020 03:25,-1.603206413,25.3,25.35,25.1,24.95,24.89462347,24.68128414,24.03956226,73.0934123,0.790513834,1.796357128,0.221950028
835,09-06-2020 04:30,30,30.5,26,09-06-2020 05:35,-1.666666667,30.35,30.5,30.05,30,29.82258667,29.43172869,28.84924852,73.4292811,0.988467875,2.221027297,0.591377752
836,17-07-2020 00:40,38.6,39.15,34.2,28-07-2020 23:55,-1.424870466,38.95,39.15,38.75,38.6,38.43082056,38.13977117,37.63009648,77.84220413,0.513478819,1.83698452,0.438288703
837,29-07-2020 00:00,38.8,39.2,35.6,29-07-2020 00:25,-1.030927835,39.15,39.2,38.8,38.8,38.48567867,38.17843641,37.79152854,74.62560551,0.893997446,1.822248302,0.810106531
838,13-08-2020 02:10,37.3,37.75,33.7,13-08-2020 02:40,-1.206434316,37.75,37.75,37.35,37.3,37.15374083,36.93811201,36.6670554,70.03261176,1.059602649,1.579494492,0.392115739
839,21-08-2020 00:00,41.15,41.6,37.55,21-08-2020 02:50,-1.093560146,41.45,41.6,41.2,41.15,40.57394907,39.99372213,39.3163924,82.192819,0.603136309,2.466468592,1.399880763
